ProductID,ProductName,Quantity,Price,Date
110,Graphics Card,9,147896.28,2025-10-14
108,SSD 500GB,1,26152.54,2025-10-14
110,Graphics Card,13,139340.60,2025-10-14
101,Laptop,16,76989.65,2025-10-14
101,Laptop,1,78907.31,2025-10-14
114,Microphone,3,18319.91,2025-10-14
106,Headphones,4,11268.53,2025-10-14
106,Headphones,13,12196.58,2025-10-14
104,Monitor,19,71346.26,2025-10-14
103,Keyboard,18,4553.96,2025-10-14
105,Webcam,14,15742.56,2025-10-14
111,Printer,5,43299.80,2025-10-14
113,Router,2,7596.31,2025-10-14
110,Graphics Card,10,138454.26,2025-10-14
112,Scanner,13,32882.76,2025-10-14
113,Router,17,7748.76,2025-10-14
114,Microphone,18,18558.12,2025-10-14
109,RAM 16GB,17,27574.01,2025-10-14
102,Mouse,19,2366.84,2025-10-14
105,Webcam,2,15728.63,2025-10-14
113,Router,10,8674.64,2025-10-14
109,RAM 16GB,6,30727.09,2025-10-14
113,Router,15,8126.96,2025-10-14
104,Monitor,6,67245.47,2025-10-14
114,Microphone,7,16979.86,2025-10-14
104,Monitor,1,69461.71,2025-10-14
106,Headphones,8,11400.49,2025-10-14
102,Mouse,18,2424.53,2025-10-14
115,Desk Lamp,18,5308.03,2025-10-14
107,USB Cable,13,802.78,2025-10-14
104,Monitor,18,70600.51,2025-10-14
109,RAM 16GB,6,28679.43,2025-10-14
101,Laptop,17,81062.44,2025-10-14
106,Headphones,3,13138.78,2025-10-14
104,Monitor,15,64159.51,2025-10-14
105,Webcam,6,16163.44,2025-10-14
111,Printer,7,48943.38,2025-10-14
114,Microphone,9,16481.99,2025-10-14
115,Desk Lamp,5,5219.53,2025-10-14
109,RAM 16GB,13,28244.90,2025-10-14
106,Headphones,12,11583.78,2025-10-14
110,Graphics Card,18,137323.41,2025-10-14
113,Router,4,8753.54,2025-10-14
114,Microphone,15,16392.76,2025-10-14
105,Webcam,14,15039.87,2025-10-14
110,Graphics Card,20,147938.74,2025-10-14
113,Router,15,8642.54,2025-10-14
108,SSD 500GB,15,26295.02,2025-10-14
101,Laptop,2,88813.66,2025-10-14
108,SSD 500GB,9,23526.78,2025-10-14
108,SSD 500GB,17,24799.79,2025-10-14
115,Desk Lamp,17,5127.86,2025-10-14
113,Router,2,7887.03,2025-10-14
101,Laptop,16,90098.74,2025-10-14
103,Keyboard,12,4795.96,2025-10-14
106,Headphones,14,11802.47,2025-10-14
114,Microphone,16,16567.06,2025-10-14
110,Graphics Card,14,163837.11,2025-10-14
101,Laptop,3,87185.46,2025-10-14
105,Webcam,15,14390.26,2025-10-14
110,Graphics Card,9,149451.39,2025-10-14
