Начальный размер кеша: 100
Reader-3 прочитал: key-0 = 0
Reader-1 прочитал: key-0 = 0
Reader-2 прочитал: key-0 = 0
Reader-0 прочитал: key-0 = 0
Reader-3 прочитал: key-0 = 0
Reader-0 прочитал: key-0 = 0
Reader-3 прочитал: key-0 = 0
Reader-2 прочитал: key-0 = 0
Reader-3 прочитал: key-0 = 0
Reader-0 прочитал: key-0 = 0
Reader-2 прочитал: key-0 = 0
Reader-3 прочитал: key-0 = 0
Reader-2 прочитал: key-0 = 0
Reader-0 прочитал: key-0 = 0
Reader-2 прочитал: key-0 = 0
Reader-0 прочитал: key-0 = 0
Reader-1 прочитал: key-0 = 0
Reader-4 прочитал: key-0 = 0
Reader-1 прочитал: key-0 = 0
Reader-4 прочитал: key-0 = 0
Reader-5 прочитал: key-0 = 0
Reader-1 прочитал: key-0 = 0
Reader-4 прочитал: key-0 = 0
Reader-1 прочитал: key-0 = 0
Reader-6 прочитал: key-0 = 0
Reader-4 прочитал: key-0 = 0
Reader-6 прочитал: key-0 = 0
Reader-4 прочитал: key-0 = 0
Reader-5 прочитал: key-0 = 0
Reader-6 прочитал: key-0 = 0
Reader-6 прочитал: key-0 = 0
Reader-5 прочитал: key-0 = 0
Reader-6 прочитал: key-0 = 0
Reader-5 прочитал: key-0 = 0
Reader-5 прочитал: key-0 = 0
Reader-7 прочитал: key-0 = 0
Reader-7 прочитал: key-0 = 0
Reader-8 прочитал: key-0 = 0
Reader-7 прочитал: key-0 = 0
Reader-8 прочитал: key-0 = 0
Reader-7 прочитал: key-0 = 0
Reader-8 прочитал: key-0 = 0
Reader-7 прочитал: key-0 = 0
Reader-8 прочитал: key-0 = 0
Reader-8 прочитал: key-0 = 0
 Writer-0 записал: key-0 = 0
Reader-9 прочитал: key-0 = 0
 Writer-1 записал: key-0 = 0
Reader-9 прочитал: key-0 = 0
Reader-9 прочитал: key-0 = 0
Reader-9 прочитал: key-0 = 0
Reader-9 прочитал: key-0 = 0
 Writer-0 записал: key-1 = 1000
 Writer-1 записал: key-1 = 1000
 Writer-0 записал: key-2 = 2000
 Writer-1 записал: key-2 = 2000
 Writer-0 записал: key-3 = 3000
 Writer-1 записал: key-3 = 3000
 Writer-0 записал: key-4 = 4000
 Writer-1 записал: key-4 = 4000
 Writer-0 записал: key-5 = 5000
 Writer-1 записал: key-5 = 5000
 Writer-0 записал: key-6 = 6000
 Writer-1 записал: key-6 = 6000
 Writer-0 записал: key-7 = 7000
 Writer-1 записал: key-7 = 7000
 Writer-0 записал: key-8 = 8000
 Writer-1 записал: key-8 = 8000
 Writer-1 записал: key-9 = 9000
 Writer-0 записал: key-9 = 9000
 Writer-1 записал: key-10 = 10000
 Writer-0 записал: key-10 = 10000
 Writer-1 записал: key-11 = 11000
 Writer-0 записал: key-11 = 11000
 Writer-1 записал: key-12 = 12000
 Writer-0 записал: key-12 = 12000
 Writer-1 записал: key-13 = 13000
 Writer-0 записал: key-13 = 13000
 Writer-0 записал: key-14 = 14000
 Writer-1 записал: key-14 = 14000
 Writer-1 записал: key-15 = 15000
 Writer-0 записал: key-15 = 15000
 Writer-0 записал: key-16 = 16000
 Writer-1 записал: key-16 = 16000
 Writer-0 записал: key-17 = 17000
 Writer-1 записал: key-17 = 17000
 Writer-0 записал: key-18 = 18000
 Writer-1 записал: key-18 = 18000
 Writer-0 записал: key-19 = 19000
 Writer-1 записал: key-19 = 19000
